ufn,semsp_id,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,fish_lab_qc_data,fish_lab_qc_flag,fish_lab_flag_reason,fish_lab_qc_log
U681,2015-06-24-J07-SO-5,2015-11-30,none,none,28.1,NA,130,NA,"Scales not taken, fish was stoo dry when it was found out.",NA,DS,full work-up 1,CK,N,NA,NA
U682,2015-06-24-J07-SO-7,2015-11-30,none,none,25.6,NA,131,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U683,2015-07-06-D09-SO-3,2015-11-30,none,none,22.3,NA,121,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U684,2015-07-06-D09-SO-4,2015-11-30,none,none,25.5,NA,128,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U685,2015-06-21-J05-SO-10,2015-11-30,none,none,24,NA,133,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U627,2015-06-21-J05-SO-9,2015-12-01,none,none,19.2,NA,117,NA,NA,NA,LP,full work-up 1,KI,N,NA,NA
U628,2015-06-23-J01-SO-7,2015-12-01,none,none,22,NA,128,NA,NA,NA,LP,full work-up 1,KI,N,NA,NA
U629,2015-06-23-J01-SO-11,2015-12-01,none,none,21,NA,124,NA,NA,NA,LP,full work-up 1,KI,N,NA,NA
U669,2015-06-21-J05-SO-1,2015-12-01,none,none,16,NA,113,NA,One otolith,NA,CK,full work-up 1,KI,N,NA,NA
U670,2015-06-21-J05-SO-13,2015-12-01,none,none,15.9,NA,118,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U678,2015-06-21-J05-SO-2,2015-12-01,none,none,24.5,NA,128,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U679,2015-06-23-J01-SO-13,2015-12-01,none,none,22.4,NA,123,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U680,2015-06-23-J01-SO-6,2015-12-01,none,none,18.5,NA,118,NA,Liver fell on ground ( DNA portion only),NA,KI,full work-up 1,KI,N,NA,NA
U686,2015-06-21-J05-SO-14,2015-12-01,none,none,22.8,NA,125,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U687,2015-06-21-J05-SO-11,2015-12-01,none,none,20.9,NA,125,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U688,2015-06-23-J01-SO-10,2015-12-01,none,none,22.3,NA,121,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U689,2015-06-23-J01-SO-12,2015-12-01,none,none,21.6,NA,123,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U690,2015-06-23-J01-SO-3,2015-12-01,none,none,21,NA,121,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U701,2015-06-23-J01-SO-9,2015-12-01,none,none,25.3,NA,132,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U702,2015-06-23-J01-SO-14,2015-12-01,none,none,22.3,NA,121,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U703,2015-06-23-J01-SO-8,2015-12-01,none,none,22.2,NA,125,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U704,2015-06-24-J08-SO-6,2015-12-01,none,none,15.2,NA,107,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U705,2015-06-24-J08-SO-5,2015-12-01,none,none,13.4,NA,108,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U711,2015-06-24-J08-SO-4,2015-12-01,none,none,17.3,NA,114,NA,"Cracked oto, lesion behind dorsal fin",NA,DS,full work-up 1,KI,N,NA,NA
U721,2015-06-24-J08-SO-11,2015-12-01,none,none,23.2,NA,123,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U630,2015-06-24-J06-SO-8,2015-12-02,none,none,17.9,NA,124,NA,NA,NA,LP,full work-up 1,CK,N,NA,NA
U706,2015-06-24-J06-SO-2,2015-12-02,none,none,21.7,NA,133,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U707,2015-06-24-J06-SO-7,2015-12-02,none,none,19.3,NA,128,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U708,2015-06-24-J06-SO-6,2015-12-02,none,none,16,NA,114,NA,"One oto, bottom half of louse collected and counted",NA,CK,full work-up 1,CK,N,NA,NA
U709,2015-06-19-J10-SO-14,2015-12-02,none,none,21.7,NA,119,NA,1 oto,NA,CK,full work-up 1,CK,N,NA,NA
U710,2015-06-19-J10-SO-24,2015-12-02,none,none,13.5,NA,105,NA,1oto,NA,CK,full work-up 1,CK,N,NA,NA
U712,2015-06-24-J06-SO-5,2015-12-02,none,none,18.9,NA,123,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U713,2015-06-19-J10-SO-13,2015-12-02,none,none,14.3,NA,105,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U714,2015-06-19-J10-SO-11,2015-12-02,none,none,16.9,NA,117,NA,"Brain fell on RNA tray, lep chal a reatined a chal cal b males not reatined",NA,DS,full work-up 1,CK,N,NA,NA
U715,2015-06-27-J10-SO-7,2015-12-02,none,none,12.6,NA,102,NA,NA,CHAL SCAR OM RIGHT FLANK INFRONT OF PELVIC,DS,full work-up 1,CK,N,NA,Fixed duplicate SEMSP ID (2015-06-27-J10-SO-10)
U722,2015-06-24-J06-SO-4,2015-12-02,none,none,21,NA,132,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U723,2015-06-24-J06-SO-1,2015-12-02,none,none,18.1,NA,125,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U724,2015-06-24-J06-SO-3,2015-12-02,none,none,12.3,NA,109,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U725,2015-06-19-J10-SO-7,2015-12-02,none,none,14.1,NA,107,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U726,2015-06-19-J10-SO-4,2015-12-02,none,none,13.4,NA,108,NA,Nematode in pyloric cecea,NA,KI,full work-up 1,CK,N,NA,NA
U727,2015-06-19-J10-SO-17,2015-12-02,none,none,18.7,NA,115,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U728,2015-06-19-J10-SO-9,2015-12-02,none,none,18.4,NA,114,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U731,2015-06-19-J10-SO-6,2015-12-02,none,none,15.6,NA,105,NA,1 unidentified louse on chamois not reatined,NA,CK,full work-up 1,CK,N,NA,NA
U732,2015-06-19-J10-SO-1,2015-12-02,none,none,18.8,NA,115,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U751,2015-06-19-J10-SO-23,2015-12-02,none,none,19.3,NA,124,NA,NA,NA,LP,full work-up 1,CK,N,NA,NA
U716,2015-06-27-J10-SO-5,2015-12-03,none,none,14.6,NA,118,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U717,2015-06-27-J10-SO-2,2015-12-03,none,none,9.6,NA,103,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U718,2015-06-27-J10-SO-9,2015-12-03,none,none,11.1,NA,105,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U719,2015-06-14-J06-SO-22,2015-12-03,none,none,15.1,NA,100,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U720,2015-06-14-J06-SO-25,2015-12-03,none,none,12.7,NA,105,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U729,2015-06-27-J10-SO-10,2015-12-03,none,none,11.7,NA,109,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U730,2015-06-27-J10-SO-3,2015-12-03,none,none,10.4,NA,103,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U733,2015-06-27-J10-SO-4,2015-12-03,none,none,20.2,NA,124,NA,NA,Dark red layer of muscle tissue under skin,CK,full work-up 1,CK,N,NA,NA
U734,2015-06-14-J06-SO-26,2015-12-03,none,none,14.9,NA,107,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U735,2015-06-14-J07-SO-23,2015-12-03,none,none,20.3,NA,124,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U736,2015-06-14-J07-SO-21,2015-12-03,none,none,22.5,NA,109,NA,No scales taken.,NA,CK,full work-up 1,CK,N,NA,NA
U752,2015-06-27-J10-SO-8,2015-12-03,none,none,7.3,NA,89,NA,NA,NA,LP,full work-up 1,KI,N,NA,NA
U753,2015-06-27-J10-SO-6,2015-12-03,none,none,16.8,NA,124,NA,Pale liver,NA,LP,full work-up 1,KI,N,NA,NA
U754,2015-06-14-J06-SO-23,2015-12-03,none,none,16.6,NA,128,NA,NA,NA,LP,full work-up 1,KI,N,NA,NA
U761,2015-06-14-J06-SO-30,2015-12-03,none,none,NA,NA,95,NA,Forgot to weigh,NA,DS,full work-up 1,CK,N,NA,NA
U762,2015-06-14-J07-SO-28,2015-12-03,none,none,11.6,NA,103,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U781,2015-06-14-J06-SO-28,2015-12-03,none,none,14.2,NA,115,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U782,2015-06-14-J06-SO-27,2015-12-03,none,none,14,NA,111,NA,NA,Nematode on stomach,KI,full work-up 1,CK,N,NA,NA
U783,2015-06-14-J06-SO-24,2015-12-03,none,none,10.8,NA,98,NA,1 caligus chal a not retained,NA,KI,full work-up 1,CK,N,NA,NA
U784,2015-06-14-J06-SO-29,2015-12-03,none,none,14,NA,99,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U785,2015-06-14-J07-SO-20,2015-12-03,none,none,18.3,NA,113,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U737,2015-06-14-J07-SO-16,2015-12-04,none,none,18.5,NA,114,NA,NA,NA,CK,full work-up 1,DS,N,NA,NA
U738,2015-06-14-J07-SO-25,2015-12-04,none,none,18.3,NA,116,NA,NA,NA,CK,full work-up 1,DS,N,NA,NA
U739,2015-06-24-J08-SO-18,2015-12-04,none,none,15.8,NA,114,NA,NA,NA,CK,full work-up 1,DS,N,NA,NA
U740,2015-06-24-J08-SO-12,2015-12-04,none,none,15.1,NA,110,NA,NA,NA,CK,full work-up 1,DS,N,NA,NA
U763,2015-06-14-J07-SO-24,2015-12-04,none,none,16.5,NA,117,NA,NA,Very red flesh,DS,full work-up 1,DS,N,NA,NA
U764,2015-06-14-J07-SO-27,2015-12-04,none,none,15.9,NA,112,NA,NA,NA,DS,full work-up 1,DS,N,NA,NA
U765,2015-06-14-J07-SO-29,2015-12-04,none,none,21.7,NA,123,NA,NA,NA,DS,full work-up 1,DS,N,NA,NA
U766,2015-06-24-J08-SO-16,2015-12-04,none,none,16.8,NA,107,NA,NA,NA,DS,full work-up 1,DS,N,NA,NA
U767,2015-06-11-D09-SO-30,2015-12-04,none,none,18.4,NA,126,NA,NA,NA,DS,full work-up 1,DS,N,NA,NA
U768,2015-06-11-D09-SO-28,2015-12-04,none,none,10.2,NA,100,NA,NA,Scar behind anal fin on ventral surface,DS,full work-up 1,DS,N,NA,NA
U769,2015-06-11-D09-SO-21,2015-12-04,none,none,15.5,NA,100,NA,NA,NA,DS,full work-up 1,DS,N,NA,NA
U771,2015-06-11-D09-SO-22,2015-12-04,none,none,10.2,NA,96,NA,NA,NA,CK,full work-up 1,DS,N,NA,NA
U772,2015-06-11-D09-SO-29,2015-12-04,none,none,11.8,NA,89,NA,NA,NA,CK,full work-up 1,DS,N,NA,NA
U773,2015-06-11-D09-SO-24,2015-12-04,none,none,19,NA,116,NA,NA,NA,CK,full work-up 1,DS,N,NA,NA
U786,2015-06-14-J07-SO-18,2015-12-04,none,none,12.7,NA,113,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U787,2015-06-14-J07-SO-26,2015-12-04,none,none,19.1,NA,117,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U788,2015-06-24-J08-SO-8,2015-12-04,none,none,20.6,NA,126,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U789,2015-06-24-J08-SO-9,2015-12-04,none,none,13.9,NA,106,NA,Brain fell on cool rack,NA,KI,full work-up 1,DS,N,NA,NA
U790,2015-06-24-J08-SO-10,2015-12-04,none,none,16.1,NA,112,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U791,2015-06-11-D09-SO-27,2015-12-04,none,none,14.2,NA,106,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U792,2015-06-11-D09-SO-23,2015-12-04,none,none,9.1,NA,95,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U755,2015-06-11-D09-SO-25,2015-12-07,none,none,9.6,NA,105,NA,NA,NA,LP,full work-up 1,CK,N,NA,NA
U770,2015-06-03-D09-SO-15,2015-12-07,none,none,14.2,NA,108,NA,NA,Gravid cal collected,DS,full work-up 1,KI,N,NA,NA
U774,2015-06-11-D09-SO-26,2015-12-07,none,none,21.7,NA,124,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U775,2015-06-03-D09-SO-13,2015-12-07,none,none,13.3,NA,107,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U776,2015-06-03-D09-SO-14,2015-12-07,none,none,15.7,NA,114,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U777,2015-06-03-D09-SO-20,2015-12-07,none,none,14.3,NA,106,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U778,2015-06-18-D11-SO-19,2015-12-07,none,none,16.2,NA,116,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U779,2015-06-18-D11-SO-17,2015-12-07,none,none,21.7,NA,126,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U780,2015-06-18-D11-SO-14,2015-12-07,none,none,22.4,NA,131,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U793,2015-06-03-D09-SO-18,2015-12-07,none,none,18.9,NA,120,NA,NA,1 oto,KI,full work-up 1,KI,N,NA,NA
U794,2015-06-03-D09-SO-11,2015-12-07,none,none,NA,NA,113,NA,Post dissection weight of 14.1,NA,KI,full work-up 1,KI,N,NA,NA
U795,2015-06-03-D09-SO-19,2015-12-07,none,none,15,NA,98,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U796,2015-06-03-D09-SO-9,2015-12-07,none,none,15.6,NA,120,NA,Post dissection weight of 15.6,NA,KI,full work-up 1,KI,N,NA,NA
U797,2015-06-18-D11-SO-20,2015-12-07,none,none,23.6,NA,129,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U798,2015-06-18-D11-SO-13,2015-12-07,none,none,17.8,NA,122,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U801,2015-06-03-D09-SO-12,2015-12-07,none,none,NA,NA,107,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U802,2015-06-03-D09-SO-17,2015-12-07,none,none,18.2,NA,108,NA,Cal chal a not retained,NA,DS,full work-up 1,KI,N,NA,NA
U803,2015-06-03-D09-SO-16,2015-12-07,none,none,15.5,NA,114,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U804,2015-06-18-D11-SO-16,2015-12-07,none,none,16.3,NA,112,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U805,2015-06-18-D11-SO-18,2015-12-07,none,none,15.3,NA,111,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U806,2015-06-18-D11-SO-15,2015-12-07,none,none,19.8,NA,119,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U756,2015-06-18-D11-SO-11,2015-12-08,none,none,20.3,NA,128,NA,Scar on right flank,NA,LP,full work-up 1,CK,N,NA,NA
U757,2015-06-27-J10-SO-1,2015-12-08,none,none,19.2,NA,129,NA,NA,NA,LP,full work-up 1,CK,N,NA,NA
U758,2015-06-15-J08-SO-17,2015-12-08,none,none,13.2,NA,109,NA,NA,NA,LP,full work-up 1,CK,N,NA,NA
U799,2015-06-19-D06-SO-4,2015-12-08,none,none,22.5,NA,126,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U800,2015-06-15-J08-SO-30,2015-12-08,none,none,13.4,NA,109,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U807,2015-06-19-D06-SO-5,2015-12-08,none,none,24.1,NA,130,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U808,2015-06-19-D06-SO-3,2015-12-08,none,none,25.3,NA,128,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U809,2015-06-14-J06-SO-12,2015-12-08,none,none,11.6,NA,116,NA,NA,"Missing scales, very red flesh, pale organs",DS,full work-up 1,CK,N,NA,NA
U810,2015-06-15-J08-SO-16,2015-12-08,none,none,16.9,NA,116,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U811,2015-06-19-D06-SO-1,2015-12-08,none,none,25,NA,133,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U812,2015-06-19-D06-SO-2,2015-12-08,none,none,26.8,NA,138,NA,"Heart dropped onto coolbox; may be contaminated, one otolith",NA,CK,full work-up 1,CK,N,NA,NA
U813,2015-06-14-J06-SO-6,2015-12-08,none,none,18,NA,120,NA,One otolith is cracked,NA,CK,full work-up 1,CK,N,NA,NA
U814,2015-06-15-J08-SO-21,2015-12-08,none,none,17.5,NA,116,NA,NA,One otolith,CK,full work-up 1,CK,N,NA,NA
U815,2015-06-15-J08-SO-22,2015-12-08,none,none,15.6,NA,113,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U816,2015-06-15-J08-SO-18,2015-12-08,none,none,18.2,NA,119,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U817,2015-06-05-D09-SO-15,2015-12-08,none,none,15.1,NA,115,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U821,2015-06-15-J08-SO-20,2015-12-08,none,none,14.8,NA,110,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U822,2015-06-15-J08-SO-26,2015-12-08,none,none,11.6,NA,104,NA,Cal chal a not retained,NA,DS,full work-up 1,CK,N,NA,NA
U823,2015-06-15-J08-SO-29,2015-12-08,none,none,NA,NA,112,NA,Post dissection weight of 14.2,NA,DS,full work-up 1,CK,N,NA,NA
U831,2015-06-15-J08-SO-23,2015-12-08,none,none,13.5,NA,112,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U832,2015-06-05-D09-SO-20,2015-12-08,none,none,17.2,NA,125,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U759,2015-06-05-D09-SO-12,2015-12-09,none,none,20.7,NA,129,NA,NA,NA,LP,full work-up 1,CK,N,NA,NA
U760,2015-06-05-D09-SO-18,2015-12-09,none,none,11.6,NA,110,NA,NA,NA,LP,full work-up 1,CK,N,NA,NA
U818,2015-06-05-D09-SO-11,2015-12-09,none,none,14.4,NA,115,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U819,2015-06-05-D09-SO-19,2015-12-09,none,none,11.1,NA,109,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U820,2015-06-05-D09-SO-17,2015-12-09,none,none,14.9,NA,114,NA,"One cracked otolith, a mangled cal chal b collected",NA,CK,full work-up 1,CK,N,NA,NA
U824,2015-06-05-D09-SO-13,2015-12-09,none,none,20.7,NA,123,NA,NA,NA,DS,full work-up 1,CK,N,NA,NA
U833,2015-06-05-D09-SO-14,2015-12-09,none,none,14.7,NA,115,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U834,2015-06-05-D09-SO-16,2015-12-09,none,none,15.2,NA,116,NA,NA,Nematode in gut,KI,full work-up 1,CK,N,NA,NA
U835,2015-06-24-D10-SO-7,2015-12-09,none,none,19.9,NA,123,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U836,2015-06-24-D10-SO-6,2015-12-09,none,none,25.5,NA,130,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U837,2015-06-24-D10-SO-5,2015-12-09,none,none,23,NA,129,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U838,2015-06-24-D10-SO-1,2015-12-09,none,none,26.7,NA,129,NA,NA,One otolith,KI,full work-up 1,CK,N,NA,NA
U839,2015-06-09-D09-SO-24,2015-12-09,none,none,17.7,NA,123,NA,NA,NA,KI,full work-up 1,CK,N,NA,NA
U841,2015-06-24-D10-SO-3,2015-12-09,none,none,24.4,NA,133,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U842,2015-06-24-D10-SO-2,2015-12-09,none,none,24.2,NA,131,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U843,2015-06-24-D10-SO-4,2015-12-09,none,none,23.8,NA,132,NA,NA,NA,CK,full work-up 1,CK,N,NA,NA
U844,2015-06-07-D07-SO-29,2015-12-09,none,none,6.5,NA,84,NA,No scales taken,NA,CK,full work-up 1,CK,N,NA,NA
U825,2015-06-09-D09-SO-25,2015-12-10,none,none,13.4,NA,108,NA,NA,NA,DS,full work-up 1,DS,N,NA,NA
U826,2015-06-07-D07-SO-21,2015-12-10,none,none,12.8,NA,105,NA,NA,"Malnourished appearance , thin organs, empty stomach",DS,full work-up 1,DS,N,NA,NA
U827,2015-06-09-D09-SO-26,2015-12-10,none,none,14.7,NA,114,NA,Cal chal A not retained,NA,DS,full work-up 1,DS,N,NA,NA
U828,2015-06-09-D09-SO-27,2015-12-10,none,none,19.4,NA,118,NA,NA,NA,DS,full work-up 1,DS,N,NA,NA
U829,2015-07-01-J10-SO-3,2015-12-10,none,none,23,NA,127,NA,NA,Big open lesion on flank behind doral,DS,full work-up 1,DS,N,NA,NA
U830,2015-07-01-J10-SO-4,2015-12-10,none,none,23,NA,127,NA,NA,Chal scar anterior to anal fin,DS,full work-up 1,DS,N,NA,NA
U840,2015-06-07-D07-SO-24,2015-12-10,none,none,11.6,NA,94,NA,4 cal chal a's not retained,NA,KI,full work-up 1,DS,N,NA,NA
U845,2015-06-07-D07-SO-30,2015-12-10,none,none,9.7,NA,94,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U846,2015-06-07-D07-SO-25,2015-12-10,none,none,7.8,NA,90,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U847,2015-06-07-D07-SO-27,2015-12-10,none,none,10.7,NA,99,NA,NA,Large ispod on body,CK,full work-up 1,KI,N,NA,NA
U848,2015-06-09-D09-SO-23,2015-12-10,none,none,10.5,NA,100,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U849,2015-06-07-D07-SO-22,2015-12-10,none,none,8.7,NA,90,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U850,2015-06-07-D07-SO-26,2015-12-10,none,none,7.9,NA,84,NA,"Fl approximate, missing caudal fin",NA,CK,full work-up 1,KI,N,NA,NA
U861,2015-06-07-D07-SO-23,2015-12-10,none,none,11.6,NA,100,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U862,2015-06-09-D09-SO-21,2015-12-10,none,none,16.2,NA,112,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U863,2015-06-09-D09-SO-22,2015-12-10,none,none,8.7,NA,95,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U864,2015-06-07-D07-SO-28,2015-12-10,none,none,9.9,NA,105,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U865,2015-07-01-J10-SO-2,2015-12-10,none,none,23,NA,125,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U866,2015-06-13-D07-SO-18,2015-12-10,none,none,16.4,NA,112,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U871,2015-07-01-J10-SO-1,2015-12-10,none,none,24.8,NA,130,NA,NA,NA,CK,full work-up 1,KI,N,NA,NA
U881,2015-06-13-D07-SO-21,2015-12-10,none,none,9.1,NA,90,NA,NA,NA,DS,full work-up 1,DS,N,NA,NA
U867,2015-06-13-D07-SO-16,2015-12-11,none,none,11.5,NA,101,NA,NA,1 isopod in bag,KI,full work-up 1,DS,N,NA,NA
U868,2015-06-13-D07-SO-12,2015-12-11,none,none,18.3,NA,119,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U869,2015-06-13-D07-SO-14,2015-12-11,none,none,10.5,NA,90,NA,NA,1 oto,KI,full work-up 1,DS,N,NA,NA
U870,2015-06-13-D07-SO-15,2015-12-11,none,none,12,NA,95,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U882,2015-06-13-D07-SO-19,2015-12-11,none,none,16.8,NA,98,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U883,2015-06-13-D07-SO-20,2015-12-11,none,none,16.1,NA,110,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U884,2015-06-13-D07-SO-22,2015-12-11,none,none,NA,NA,110,NA,Post dissection weight of 14.2,NA,DS,full work-up 1,KI,N,NA,NA
U885,2015-06-27-D09-SO-18,2015-12-11,none,none,18.1,NA,116,NA,1 cal chal a not retained,NA,DS,full work-up 1,KI,N,NA,NA
U891,2015-06-13-D07-SO-17,2015-12-11,none,none,13.5,NA,105,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U892,2015-06-27-D09-SO-11,2015-12-11,none,none,19.3,NA,120,NA,NA,NA,KI,full work-up 1,DS,N,NA,NA
U851,2015-06-27-D09-SO-16,2015-12-14,none,none,20.9,NA,129,NA,2 cal chal a's not retained,NA,LP,full work-up 1,KI,N,NA,NA
U886,2015-06-27-D09-SO-19,2015-12-14,none,none,20.5,NA,123,NA,1 cal chal a not retained,NA,DS,full work-up 1,KI,N,NA,NA
U887,2015-06-27-D09-SO-14,2015-12-14,none,none,14.8,NA,118,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U888,2015-06-27-D09-SO-7,2015-12-14,none,none,26.2,NA,130,NA,NA,NA,DS,full work-up 1,NA,N,NA,NA
U889,2015-06-27-D09-SO-6,2015-12-14,none,none,17.1,NA,116,NA,1 cal chal a not retained,"1 cracked otolith, lots of sores and places where skin as cracked or been broken through.",DS,full work-up 1,NA,N,NA,NA
U890,2015-06-18-D09-SO-24,2015-12-14,none,none,11.8,NA,102,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U893,2015-06-27-D09-SO-17,2015-12-14,none,none,15.1,NA,100,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U894,2015-06-27-D09-SO-13,2015-12-14,none,none,16.9,NA,116,NA,NA,1 oto,KI,full work-up 1,KI,N,NA,NA
U895,2015-06-27-D09-SO-12,2015-12-14,none,none,22.4,NA,122,NA,NA,1 oto,KI,full work-up 1,KI,N,NA,NA
U896,2015-06-27-D09-SO-15,2015-12-14,none,none,22.1,NA,122,NA,NA,1 oto ectoparasite on pelvic fin,KI,full work-up 1,KI,N,NA,NA
U897,2015-06-18-D09-SO-27,2015-12-14,none,none,14,NA,108,NA,NA,Large lesion on right dorsal surface,KI,full work-up 1,KI,N,NA,NA
U898,2015-06-18-D09-SO-23,2015-12-14,none,none,19.3,NA,121,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U852,2015-06-18-D09-SO-25,2015-12-15,none,none,16.3,NA,119,NA,NA,NA,LP,full work-up 1,KI,N,NA,NA
U899,2015-06-18-D09-SO-22,2015-12-15,none,none,14.5,NA,111,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U900,2015-06-18-D09-SO-30,2015-12-15,none,none,19.5,NA,126,NA,NA,NA,KI,full work-up 1,KI,N,NA,NA
U901,2015-06-18-D09-SO-21,2015-12-15,none,none,12.6,NA,105,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U902,2015-06-18-D09-SO-28,2015-12-15,none,none,17.3,NA,121,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U903,2015-06-18-D09-SO-26,2015-12-15,none,none,13.7,NA,107,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
U904,2015-06-22-D09-SO-28,2015-12-15,none,none,19.1,NA,124,NA,NA,NA,DS,full work-up 1,KI,N,NA,NA
